house,price,area
5 Bedroom Independent House in Sector-66 Gurgaon,"₹ 5 Cr
₹ 8,598/sq.ft.","5,815 sq.ft.
(540 sq.m.) Built-up Area"
4 Bedroom Independent House in Sector-66 Gurgaon,Price on Request,"5,036-7,330 sq.ft.
(468-681 sq.m.) Built-up Area"
,,0
5 Bedroom Independent House in Sector-66 Gurgaon,"₹ 2.95 Cr
₹ 5,589/sq.ft.","5,100 sq.ft.
(474 sq.m.) Built-up Area"
4 Bedroom Independent House in Sector-66 Gurgaon,"₹ 27 Cr
₹ 30,000/sq.ft.","9,000 sq.ft.
(836 sq.m.) Plot Area"
4 Bedroom Independent House in Jaypee Greens,"₹ 2.16 - 3.88 Cr
₹ 7,150/sq.ft.","3,023-5,427 sq.ft.
(281-504 sq.m.) Built-up Area"
6 Bedroom Independent House in Sector-30 Noida,"₹ 1.98 - 5.29 Cr
₹ 8,400/sq.ft.","2,359-6,300 sq.ft.
(219-585 sq.m.) Built-up Area"
4 Bedroom Independent House in Sector-109 Gurgaon,"₹ 1.05 - 1.48 Cr
₹ 4,650/sq.ft.","2,452-3,008 sq.ft.
(228-279 sq.m.) Built-up Area"
5 Bedroom Independent House in Sector-109 Gurgaon,"₹ 6.25 - 16.36 Cr
₹ 19,841/sq.ft.","3,150-8,245 sq.ft.
(293-766 sq.m.) Built-up Area"
3 Bedroom Independent House in Sector-109 Gurgaon,"₹ 38.42 Lac
₹ 2,650/sq.ft.","1,450 sq.ft.
(135 sq.m.) Built-up Area"
1 Bedroom Independent House in Greater Noida West,"₹ 3.15 - 6 Cr
₹ 8,350/sq.ft.","4,200-6,300 sq.ft.
(390-585 sq.m.) Built-up Area"
5 Bedroom Independent House in C C Colony,"₹ 3.25 Cr
₹ 21,567/sq.ft.","1,506 sq.ft.
(140 sq.m.) Plot Area"
4 Bedroom Independent House in DLF PHASE 1,"₹ 1.5 Cr
₹ 10,000/sq.ft.","1,600 sq.ft.
(149 sq.m.) Plot Area"
1 Bedroom Independent House in Noida Extension,₹ 42.5 Lac,"9,099 sq.ft.
(845 sq.m.) Built-up Area"
2 Bedroom Independent House in Sector Xu-I Gr Noida,"₹ 3.15 - 6 Cr
₹ 8,347/sq.ft.","4,200-6,300 sq.ft.
(390-585 sq.m.) Built-up Area"
5 Bedroom Independent House in Sector-66 Gurgaon,"₹ 2.16 - 3.88 Cr
₹ 7,150/sq.ft.","3,023-5,427 sq.ft.
(281-504 sq.m.) Built-up Area"
